LA_REG_Overrepresentation,LA_REG_SEND_pct_students,LA_REG_SEND_susp_rate,LA_REG_Total_susp_rate,Overrepresentation,REG_Overrepresentation,REG_SEND_pct_students,REG_SEND_susp_rate,REG_Total_susp_rate,Regions,Row Labels,SEND one_plus_susp,SEND perm_excl,SEND suspensions,SEND_pct_students,SEND_susp_rate,Sum of SEN_EHC,Sum of SEN_Support,Total Headcount,Total One Plus Suspensions,Total Permanent Exclusion,Total Suspension,Total_SEND Headcount,Total_susp_rate,la_name,region_code,region_name
,,,,2.483,,,,,,E09000018,481,35,1014,0.176,0.126,1975,6098,45866,1332,57,2320,8073,0.051,Hounslow,E13000002,Outer London
,,,,2.134,,,,,,E09000019,354,4,869,0.225,0.164,1471,3820,23557,878,12,1813,5291,0.077,Islington,E13000001,Inner London
,,,,1.984,,,,,,E09000020,228,6,502,0.183,0.208,780,1637,13239,706,18,1386,2417,0.105,Kensington and Chelsea,E13000001,Inner London
,,,,3.154,,,,,,E09000021,121,5,220,0.149,0.054,1199,2844,27065,309,10,467,4043,0.017,Kingston upon Thames,E13000002,Outer London
,,,,2.245,,,,,,E09000022,442,2,861,0.193,0.124,2081,4876,36066,1158,7,1988,6957,0.055,Lambeth,E13000001,Inner London
,,,,2.023,,,,,,E09000023,458,5,847,0.197,0.113,2000,5493,37966,1270,17,2121,7493,0.056,Lewisham,E13000001,Inner London
,,,,3.349,,,,,,E09000024,309,3,549,0.186,0.105,1452,3767,27984,539,14,879,5219,0.031,Merton,E13000002,Outer London
,,,,2.143,,,,,,E09000025,353,14,688,0.129,0.084,1918,6285,63442,1446,40,2483,8203,0.039,Newham,E13000001,Inner London
,,,,2.37,,,,,,E09000026,399,14,734,0.134,0.094,2192,5638,58356,1513,33,2308,7830,0.04,Redbridge,E13000002,Outer London
,,,,3.676,,,,,,E09000027,200,3,430,0.143,0.104,1254,2867,28890,439,5,820,4121,0.028,Richmond upon Thames,E13000002,Outer London
,,,,2.105,,,,,,E09000028,501,9,945,0.188,0.119,1957,5994,42279,1452,20,2387,7951,0.056,Southwark,E13000001,Inner London
