new_la_code,la_name,region_code,region_name,headcount,TTperm_excl,TTperm_excl_rate,TTsuspension,TTsusp_rate,TTone_plus_susp,TTone_plus_susp_rate,perm_excl,perm_excl_rate,suspension,susp_rate,one_plus_susp,one_plus_susp_rate,SEN provision - SEN with an EHC plan,SEN provision - SEN without an EHC plan/SEN support,SEN provision - No SEN
E09000028,Southwark,E13000001,Inner London,42279.0,20.0,0.0473,2387.0,5.64583,1452.0,3.43433,2,0.102197241,235,12.00817578,124,6.336228922,1957.0,,
E09000028,Southwark,E13000001,Inner London,42279.0,20.0,0.0473,2387.0,5.64583,1452.0,3.43433,7,0.11678345,710,11.84517851,377,6.289622956,,5994.0,
E09000028,Southwark,E13000001,Inner London,42279.0,20.0,0.0473,2387.0,5.64583,1452.0,3.43433,11,0.032043813,1442,4.200652529,951,2.770333256,,,34328.0
E09000030,Tower Hamlets,E13000001,Inner London,45710.0,3.0,0.00656,1237.0,2.70619,795.0,1.73923,0,0.0,151,5.484925536,85,3.087540865,2753.0,,
E09000030,Tower Hamlets,E13000001,Inner London,45710.0,3.0,0.00656,1237.0,2.70619,795.0,1.73923,0,0.0,751,2.015349936,512,1.373980249,,,37264.0
E09000030,Tower Hamlets,E13000001,Inner London,45710.0,3.0,0.00656,1237.0,2.70619,795.0,1.73923,3,0.052696294,335,5.884419462,198,3.477955384,,5693.0,
E09000032,Wandsworth,E13000001,Inner London,33028.0,19.0,0.05753,1197.0,3.6242,700.0,2.11941,2,0.091533181,249,11.39588101,131,5.995423341,2185.0,,
E09000032,Wandsworth,E13000001,Inner London,33028.0,19.0,0.05753,1197.0,3.6242,700.0,2.11941,3,0.069156293,282,6.500691563,166,3.826648225,,4338.0,
E09000032,Wandsworth,E13000001,Inner London,33028.0,19.0,0.05753,1197.0,3.6242,700.0,2.11941,14,0.052820223,666,2.512733447,403,1.520467836,,,26505.0
E09000033,Westminster,E13000001,Inner London,21325.0,7.0,0.03283,1401.0,6.56975,856.0,4.01407,0,0.0,104,11.00529101,58,6.137566138,945.0,,
E09000033,Westminster,E13000001,Inner London,21325.0,7.0,0.03283,1401.0,6.56975,856.0,4.01407,1,0.005606324,880,4.933565061,575,3.223636262,,,17837.0
E09000033,Westminster,E13000001,Inner London,21325.0,7.0,0.03283,1401.0,6.56975,856.0,4.01407,6,0.235941801,417,16.39795517,223,8.769170271,,2543.0,
