la_name,region_name,region_code,Row Labels,Sum of SEN_EHC,Sum of SEN_Support,SEND perm_excl,SEND suspensions,SEND one_plus_susp,Total_SEND Headcount,Total Headcount,Total Suspension,Total Permanent Exclusion,Total One Plus Suspensions,SEND_pct_students,SEND_susp_rate,LA_susp_rate,REG_susp_rate,SEND one_plus_susp rate,LA_one_plus_rate,REG_one_plus_rate,SEND exclusion rate,LA_excl_rate,REG_excl_rate,LA_Overrepresentation,REG_Overrepresentation,
Lambeth,Inner London,E13000001,E09000022,2081,4876,2,861,442,6957,36066,1988,7,1158,0.193,0.124,0.055,0.113,0.064,0.032,0.058475913,0,0,0.001038012,2.245,2.139,
Lewisham,Inner London,E13000001,E09000023,2000,5493,5,847,458,7493,37966,2121,17,1270,0.197,0.113,0.056,0.113,0.061,0.033,0.058475913,0.001,0,0.001038012,2.023,2.139,
Merton,Outer London,E13000002,E09000024,1452,3767,3,549,309,5219,27984,879,14,539,0.186,0.105,0.031,0.125,0.059,0.019,0.05951261,0.001,0.001,0.001804263,3.349,2.663,
Newham,Inner London,E13000001,E09000025,1918,6285,14,688,353,8203,63442,2483,40,1446,0.129,0.084,0.039,0.113,0.043,0.023,0.058475913,0.002,0.001,0.001038012,2.143,2.139,
Redbridge,Outer London,E13000002,E09000026,2192,5638,14,734,399,7830,58356,2308,33,1513,0.134,0.094,0.04,0.125,0.051,0.026,0.05951261,0.002,0.001,0.001804263,2.37,2.663,
Richmond upon Thames,Outer London,E13000002,E09000027,1254,2867,3,430,200,4121,28890,820,5,439,0.143,0.104,0.028,0.125,0.049,0.015,0.05951261,0.001,0,0.001804263,3.676,2.663,
Southwark,Inner London,E13000001,E09000028,1957,5994,9,945,501,7951,42279,2387,20,1452,0.188,0.119,0.056,0.113,0.063,0.034,0.058475913,0.001,0,0.001038012,2.105,2.139,
Sutton,Outer London,E13000002,E09000029,1612,3810,43,1149,446,5422,41045,2543,80,1272,0.132,0.212,0.062,0.125,0.082,0.031,0.05951261,0.008,0.002,0.001804263,3.42,2.663,
Tower Hamlets,Inner London,E13000001,E09000030,2753,5693,3,486,283,8446,45710,1237,3,795,0.185,0.058,0.027,0.113,0.034,0.017,0.058475913,0,0,0.001038012,2.126,2.139,
Waltham Forest,Outer London,E13000002,E09000031,2257,4876,23,907,424,7133,42246,2075,40,1191,0.169,0.127,0.049,0.125,0.059,0.028,0.05951261,0.003,0.001,0.001804263,2.589,2.663,
Wandsworth,Inner London,E13000001,E09000032,2185,4338,5,531,297,6523,33028,1197,19,700,0.197,0.081,0.036,0.113,0.046,0.021,0.058475913,0.001,0.001,0.001038012,2.246,2.139,
Westminster,Inner London,E13000001,E09000033,945,2543,6,521,281,3488,21325,1401,7,856,0.164,0.149,0.066,0.113,0.081,0.04,0.058475913,0.002,0,0.001038012,2.274,2.139,
