new_la_code,la_name,school_type,num_schools,headcount,perm_excl,perm_excl_rate,suspension,susp_rate,one_plus_susp,one_plus_susp_rate,SEN provision - SEN with an EHC plan,SEN provision - SEN without an EHC plan/SEN support,SEN provision - No SEN
E06000032,Luton,state-funded secondary,13,15940,19,0.1192,1899,11.91343,1083,6.79423,227,,
E06000032,Luton,state-funded secondary,13,15940,19,0.1192,1899,11.91343,1083,6.79423,,619,
E06000032,Luton,state-funded secondary,13,15940,19,0.1192,1899,11.91343,1083,6.79423,,,1396
E06000032,Luton,Total,64,39879,22,0.05517,2242,5.62201,1250,3.13448,108,,
E06000032,Luton,Total,64,39879,22,0.05517,2242,5.62201,1250,3.13448,,120,
E06000032,Luton,Total,64,39879,22,0.05517,2242,5.62201,1250,3.13448,,,84
E06000032,Luton,Total,64,39879,22,0.05517,2242,5.62201,1250,3.13448,88,,
E06000032,Luton,Total,64,39879,22,0.05517,2242,5.62201,1250,3.13448,,499,
E06000032,Luton,Total,64,39879,22,0.05517,2242,5.62201,1250,3.13448,,,1312
E06000032,Luton,Total,64,39879,22,0.05517,2242,5.62201,1250,3.13448,,0,
E06000032,Luton,Total,64,39879,22,0.05517,2242,5.62201,1250,3.13448,31,,
E06000032,Luton,Total,64,39879,22,0.05517,2242,5.62201,1250,3.13448,227,,
E06000032,Luton,Total,64,39879,22,0.05517,2242,5.62201,1250,3.13448,,619,
E06000032,Luton,Total,64,39879,22,0.05517,2242,5.62201,1250,3.13448,,,1396
E06000032,Luton,special,4,784,2,0.2551,31,3.95408,18,2.29592,108,,
E06000032,Luton,special,4,784,2,0.2551,31,3.95408,18,2.29592,,120,
E06000032,Luton,special,4,784,2,0.2551,31,3.95408,18,2.29592,,,84
E06000032,Luton,special,4,784,2,0.2551,31,3.95408,18,2.29592,88,,
E06000032,Luton,special,4,784,2,0.2551,31,3.95408,18,2.29592,,499,
E06000032,Luton,special,4,784,2,0.2551,31,3.95408,18,2.29592,,,1312
E06000032,Luton,special,4,784,2,0.2551,31,3.95408,18,2.29592,,0,
E06000032,Luton,special,4,784,2,0.2551,31,3.95408,18,2.29592,31,,
E06000032,Luton,special,4,784,2,0.2551,31,3.95408,18,2.29592,227,,
E06000032,Luton,special,4,784,2,0.2551,31,3.95408,18,2.29592,,619,
E06000032,Luton,special,4,784,2,0.2551,31,3.95408,18,2.29592,,,1396
E06000034,Thurrock,state-funded secondary,13,12314,18,0.14618,1930,15.67322,909,7.38184,54,,
E06000034,Thurrock,state-funded secondary,13,12314,18,0.14618,1930,15.67322,909,7.38184,,80,
